Nome,Marca,Potencia Pico,Potencia Aparente,Tensao entrada,Tensao Saida,Preco,Rendimento Maximo,Quantos Inversores,Preco Total,ID
INVERSOR SOLAR FOTOVOLTAICO OFF GRID VICTRON (57222-5),Victron, ,250,12,230,829,0.87, , ,0
INVERSOR SOLAR FOTOVOLTAICO OFF GRID VICTRON (39762-9),Victron, ,375,24,120,979,0.89, , ,1
INVERSOR SOLAR FOTOVOLTAICO OFF GRID VICTRON (39763-3),Victron, ,375,24,230,999,0.89, , ,2
INVERSOR SOLAR FOTOVOLTAICO OFF GRID VICTRON (39761-5),Victron, ,375,12,230,1039,0.89, , ,3
INVERSOR SOLAR FOTOVOLTAICO OFF GRID VICTRON (35795-6),Victron, ,375,12,120,1039,0.89, , ,4
INVERSOR SOLAR FOTOVOLTAICO OFF GRID VICTRON (39765-1),Victron, ,500,12,120,1519,0.89, , ,5
INVERSOR SOLAR FOTOVOLTAICO OFF GRID VICTRON (33428-9),Victron, ,800,24,120,2199,0.95, , ,6
INVERSOR SOLAR FOTOVOLTAICO OFF GRID VICTRON (53294-0),Victron, ,1600,48,230,6599,0.94, , ,7
INVERSOR SOLAR FOTOVOLTAICO OFF GRID VICTRON (53287-9),Victron, ,2000,48,230,8519,0.94, , ,8
INVERSOR SOLAR FOTOVOLTAICO OFF GRID VICTRON (33431-4),Victron,6000,3000,12,120,11739,0.93, , ,9
INVERSOR SOLAR FOTOVOLTAICO OFF GRID VICTRON (32458-7),Victron, ,3000,24,120,12989,0.94, , ,10
INVERSOR SOLAR FOTOVOLTAICO OFF GRID VICTRON (3975-4),Victron, ,5000,48,230,15149,0.95, , ,11
INVERSOR SOLAR FOTOVOLTAICO OFF GRID VICTRON (35730-8),Victron,25000,15000,48,230,60259,0.96, , ,12
INVERSOR SOLAR FOTOVOLTAICO OFF GRID GROWATT (81189-3),Growatt,6000,3000,48,120,7269,0.90, , ,13
INVERSOR SOLAR FOTOVOLTAICO OFF GRID GROWATT (68565-6),Growatt,10000,5000,48,230,8099,0.97, , ,14